name_id,component_id,component_name,primary_name
1,1,5 HTP,1
2,2,Acacia Fiber Gum Powder,1
3,3,Acai Juice,1
4,4,Acerola Cherry,1
5,5,Acerola Cherry 17%,1
6,6,Activated Barley,1
7,7,Activated Charcoal (Coconut Shell-FG),1
8,8,Agaricus Blazei,1
9,9,Alfalfa Juice,1
10,10,Alfalfa Juice 85% Maltodextrin 15%,1
11,11,Alfalfa Whole,1
12,12,Almond Flour,1
13,13,Aloe Vera Leaf,1
14,14,Alpha Lipoic Acid,1
15,15,Amaranth Sprout,1
16,16,Amla Berry,1
17,17,Andrographis,1
18,18,Apple Fiber-Pectin,1
19,19,Apple Fruit,1
20,20,Apple Peel,1
21,21,Arjuna Bark (Terminalia),1
22,22,Aronia (chokeberries),1
23,23,Artichoke Leaf,1
24,24,Arugula Leaf,1
25,25,Ascorbic Acid (vitamin C),1
26,26,Ascorbyl Palmitate,1
27,27,Ashwagandha,1
28,28,Ashwagandha,1
29,29,Asparagus,1
30,30,Astragalus Root,1
31,31,Bamboo,1
32,32,Bamboo Extract,1
33,33,Banana Peel,1
34,34,Baobab,1
35,35,Barberry,1
36,36,Barberry Root C/S,1
37,37,Barley Grass Juice,1
38,38,Barley Grass Whole,1
39,39,Bee Pollen,1
40,40,Beet Juice,1
41,41,Beet Root,1
42,42,Bentonite Clay,1
43,43,Berberis,1
44,44,Berry Flavor,1
45,45,Beta Carotene,1
46,46,Beta Carotene 10%,1
47,47,Beta Carotene 20%,1
48,48,Beta-Sitosterol,1
49,49,Bio-Fermented Brown Rice Protein,1
50,50,Bio-mineralyte,1
51,51,Biotin 1%,1
52,52,Black Cumin Seed,1
53,53,Black Currant,1
54,54,Black Fulvic Acid Liquid,1
55,55,Black Pepper Extract 95% Pipperine,1
56,56,Black Seed Oil,1
57,57,Black Walnut Hulls Powder,1
58,58,Blackberry,1
59,59,Bladderwrack,1
60,60,Blessed Thistle,1
61,61,Boron Amino Acid Acetate,1
62,62,Boron Chelate 5%,1
63,63,Boron Glycinate Malate 20%,1
64,64,Bosellia Serrata (B),1
65,65,Boswellia Ext 65%,1
66,66,Brazil Nut,1
67,67,Broccoli Juice,1
68,68,Broccoli Whole,1
69,69,Bromelain 2400 GDU/g,1
70,70,Brown Rice Protein,1
71,71,Buckthorn Bark C/S,1
72,72,Bupleurum,1
73,73,Burdock Root,1
74,74,Burdock Root 10:1,1
75,75,Burdock Root C/S,1
76,76,Butchers Broom,1
77,77,Butternut Bark,1
78,78,Cacao,1
79,79,Caffeine,1
80,80,Calcium Ascorbate,1
81,81,Calcium Bisglycinate Chelate,1
82,82,Calcium Carbonate,1
83,83,Calcium Citrate Malate,1
84,84,California Poppy Extract,1
85,85,Camu Camu,1
86,86,Cape Aloe,1
87,87,Carnosine,1
88,88,Carrot,1
89,89,Cascara Sagrada,1
90,90,Cascara Sagrada C/S,1
91,91,Cayenne,1
92,92,Ceylon Cinnamon,1
93,93,Chaga,1
94,94,Chamomile,1
95,95,Chanca Piedra,1
96,96,Chaste Berry,1
97,97,Chia Seed,1
98,98,Chickweed,1
99,99,Chicory Root,1
100,100,Chlorella,1
101,101,Chocolate Flavor,1
102,102,Chocolate Flavor 651202,1
103,103,Choline L Bitartrate,1
104,104,Chondroitin Sulfate,1
105,105,Chromium AAC 2.5%,1
106,106,Chromium Nicotinate (GTF),1
107,107,Chromium Picolinate,1
108,108,Cinnulin PF,1
109,109,Citric Acid,1
110,110,CLA TG 60%,1
111,111,Cloves Bud Powder,1
112,112,CO-Q-10,1
113,113,Cocoa Dutch,1
114,114,CocOganic,1
115,115,Coconut Milk,1
116,116,Coconut Water,1
117,117,Collagen,1
118,118,Copper Glycinate Chelate,1
